id,eventname,startdate,enddate,venue.town,venue.region,cancelled,genre_count,genres,artist_count
42323624,Ilkeston Music Festival,2026-06-27T12:00:00+00:00,2026-06-27T22:00:00+00:00,Ilkeston,Derbyshire,0,5.0,"['Rock', 'Club Classics', 'Indie', 'Country/Americana', 'Pop Rock']",
42146841,Anyma presents ÆDEN,2026-06-27T15:00:00+00:00,2026-06-27T22:30:00+00:00,London,London,0,,,6.0
42088381,Voodoo Festival 2026,2026-06-27T14:00:00+00:00,2026-06-27T23:00:00+00:00,Chichester,Hampshire,0,4.0,"['Drum and Bass', 'Old Skool', 'Funky House', 'Soulful House']",10.0
42270598,Jungle Cakes Beach Festival Newquay 2026,2026-06-27T12:00:00+00:00,2026-06-28T02:00:00+00:00,Newquay,Cornwall,0,2.0,"['Drum and Bass', 'Jungle']",18.0
41490999,"Rum & Reggae Fest Jungle Takeover 2026| Colwick Park, Nottingham",2026-06-27T13:00:00+00:00,2026-06-27T23:00:00+00:00,Nottingham,Nottingham,0,2.0,"['Reggae', 'Jungle']",18.0
42083714,Warwick Thai Festival,2026-06-27T10:00:00+00:00,2026-06-28T19:00:00+00:00,Warwick,West Midlands,0,,,
42290932,Jungle Cakes Beach Festival - Exmouth,2026-06-27T12:00:00+00:00,2026-06-27T22:00:00+00:00,Exmouth,Devon,0,4.0,"['UK Garage', 'Drum and Bass', 'Bass Music', 'Jungle']",13.0
41626761,"DJ SAMMY & MORE | Love the 90s Festival | Project House, Leeds",2026-06-27T12:00:00+00:00,2026-06-27T21:00:00+00:00,Leeds,West Yorkshire,0,1.0,['1990s'],9.0
42171684,Stringz Fest,2026-06-27T13:00:00+00:00,2026-06-27T22:00:00+00:00,Upminster,London,0,1.0,['House'],4.0
41468310,SoundScape 2026,2026-06-27T12:00:00+00:00,2026-06-27T23:00:00+00:00,Bishop Auckland,Durham,0,4.0,"['Trance', 'Hardcore/Hardstyle', 'Hard Dance', 'Bounce']",
41377463,Shirley's Summer Sesh Saturday,2026-06-27T15:00:00+00:00,2026-06-27T23:00:00+00:00,Ballymoney,Northern Ireland,0,2.0,"['Country/Americana', 'Pop Rock']",5.0
41773335,Front Row Festival,2026-06-27T11:00:00+00:00,2026-06-27T23:30:00+00:00,Bicester,Oxon,0,,,
42487744,Sundown Social Presents- England Vs Panama screening,2026-06-27T22:00:00+00:00,2026-06-28T02:45:00+00:00,Birmingham,Birmingham,0,,,
41643617,Kings Hill Music Festival 2026,2026-06-27T12:00:00+00:00,2026-06-27T21:30:00+00:00,West Malling,Kent,0,5.0,"['Rock', 'Pop', 'Ska', 'Soul', 'Rock & Roll / 1950s']",
42405075,England vs Panama @ BallPoint Sports Bar,2026-06-27T18:30:00+00:00,2026-06-28T01:00:00+00:00,Telford,Shropshire,0,,,
41499199,Country Club - Outdoor Country Music Festival - Birmingham,2026-06-27T16:00:00+00:00,2026-06-27T23:00:00+00:00,Birmingham,Birmingham,1,1.0,['Country/Americana'],
42455588,Novella,2026-06-27T12:00:00+00:00,2026-06-27T18:00:00+00:00,Merthyr Tydfil,South Glamorgan,0,4.0,"['House', 'Tech House', 'Rap', 'Grime']",4.0
41499172,Sheffield Soul Fest,2026-06-27T14:00:00+00:00,2026-06-27T23:00:00+00:00,Sheffield,South Yorkshire,0,3.0,"['Soul', 'Soulful House', 'Northern Soul']",4.0
42093838,Reggae Ondi Farm Festival 2026,2026-06-27T11:00:00+00:00,2026-06-27T23:00:00+00:00,Ripley,Derbyshire,0,1.0,['Reggae'],
42256727,Secret Garden Series Hosted by Summer Solstice,2026-06-27T15:00:00+00:00,2026-06-27T22:00:00+00:00,Southampton,Hants,0,1.0,['UK Garage'],
42443328,Summer Solstice,2026-06-27T14:00:00+00:00,2026-06-27T21:00:00+00:00,Stirling,Central,0,,,
42436105,Summer Outdoor Garage Festival - The Hobbit Southampton,2026-06-27T15:00:00+00:00,2026-06-27T21:00:00+00:00,Southampton,Hants,0,1.0,['UK Garage'],1.0
42263202,London Mahotsav,2026-06-27T11:30:00+00:00,2026-06-28T20:00:00+00:00,Harrow,London,0,,,
42475501,M PRESENTS : Open Air Day Party + Indoor After Party,2026-06-27T15:00:00+00:00,2026-06-28T02:00:00+00:00,Bewdley,West Midlands,0,5.0,"['House', 'UK Garage', 'Deep House', 'Tech House', 'Hard House']",3.0
41170815,Goodlife Festival 2026,2026-06-27T13:00:00+00:00,2026-06-27T23:00:00+00:00,Leeds,West Yorkshire,1,5.0,"['House', 'Soul', 'Funk', 'Disco', 'Disco House']",
42147618,3 Lions FREE Fanzone: WORLD CUP FINAL,2026-06-27T15:00:00+00:00,2026-06-28T00:00:00+00:00,Liverpool,Merseyside,0,1.0,['Retro and Throwbacks'],
42488633,Proms by The Lake,2026-06-27T19:30:00+00:00,2026-06-27T21:30:00+00:00,Camberley,Surrey,0,,,
42498228,British Summer Time,2026-06-27T11:00:00+00:00,2026-07-12T23:00:00+00:00,St Neots,Cambridgeshire,0,3.0,"['Pop', 'Alternative', 'Country/Americana']",34.0
41602006,The Harrogate Food and Drink Festival 2026: A Feast on The Stray,2026-06-27T10:00:00+00:00,2026-06-28T19:00:00+00:00,Harrogate,North Yorkshire,0,,,
42333451,Youth Beatz 2026,2026-06-27T12:00:00+00:00,2026-06-28T22:00:00+00:00,Dumfries,Dumfries and Galloway,0,1.0,['Pop'],6.0
42342044,CLUB 80s,2026-06-27T19:00:00+00:00,2026-06-28T01:00:00+00:00,Glasgow,Scotland,0,1.0,['Disco'],
42420615,51st Festival Riverside Sessions,2026-06-27T00:00:00+00:00,2026-06-27T22:00:00+00:00,Barking,London,0,3.0,"['House', 'Electronic', 'Electro']",26.0
41747373,Rockprest Tribute Festival,2026-06-27T11:00:00+00:00,2026-06-28T23:00:00+00:00,Preston,Lancashire,0,5.0,"['Rock', 'Indie', 'Metal', 'Alternative', 'Emo']",24.0
42246535,Blackbird Festival,2026-06-27T17:00:00+00:00,2026-06-27T23:00:00+00:00,Cardiff,South Glamorgan,0,3.0,"['Rock', 'Alternative', 'Hard Rock']",5.0
42412955,Ella Street Festival 2026,2026-06-27T11:00:00+00:00,2026-06-27T16:00:00+00:00,Hull,Humberside,0,,,
42505137,Blenheim Palace Festival,2026-06-27T11:00:00+00:00,2026-07-04T23:00:00+00:00,Woodstock,Oxon,0,3.0,"['Pop', 'Alternative', 'Electronic']",11.0
42418158,Summer Sounds Festival Wigan 2026,2026-06-27T13:30:00+00:00,2026-06-27T21:30:00+00:00,Wigan,Manchester,0,,,
42246592,SMK Live,2026-06-27T12:00:00+00:00,2026-06-28T23:00:00+00:00,Milton Keynes,Buckinghamshire,0,3.0,"['R&B', 'Pop', 'Electronic']",14.0
42146962,Anyma presents ÆDEN,2026-06-28T15:00:00+00:00,2026-06-28T22:00:00+00:00,London,London,0,,,5.0
42171287,Continental GT Steppers London @ studio 338,2026-06-28T15:00:00+00:00,2026-06-28T23:00:00+00:00,Greenwich,London,0,3.0,"['House', 'Deep House', 'Tech House']",2.0
42323634,Ilkeston Country Music Festival,2026-06-28T12:00:00+00:00,2026-06-28T23:00:00+00:00,Ilkeston,Derbyshire,0,1.0,['Country/Americana'],
42516994,Beehive Ldn Summer Day Party,2026-06-28T14:00:00+00:00,2026-06-28T23:00:00+00:00,Barking,London,1,4.0,"['Deep House', 'Tribal House', 'Tech House', 'Amapiano']",4.0
42565892,England V Dr Congo Family Fanzone,2026-07-01T16:00:00+00:00,2026-07-01T20:00:00+00:00,Middlesbrough,Cleveland,0,,,
41395123,Lytham Festival,2026-07-01T11:00:00+00:00,2026-07-05T23:00:00+00:00,Lancashire,Lancashire,0,3.0,"['Rock', 'Pop', 'Indie']",13.0
41177676,The Brit Fest 2026,2026-07-02T12:00:00+00:00,2026-07-05T23:00:00+00:00,MANCHESTER,Cheshire,0,4.0,"['Pop', 'Indie', 'Brit Pop', 'Indie Pop']",23.0
41471319,Tributes on the Hill 2026,2026-07-02T11:00:00+00:00,2026-07-05T22:00:00+00:00,Frodsham,Cheshire,0,5.0,"['Indie', 'Covers Band/Tribute Act', '1980s', '1990s', 'Pop Rock']",3.0
41572996,Westival 2026,2026-07-02T00:00:00+00:00,2026-07-06T12:00:00+00:00,Tenby,West Glamorgan,0,5.0,"['House', 'UK Garage', 'Drum and Bass', 'Disco', 'Jungle']",25.0
42084724,Kelburn Garden Party,2026-07-02T11:00:00+00:00,2026-07-06T23:00:00+00:00,Largs,Strathclyde,0,,,50.0
